id;Kata;Arti;
;a;huruf a;
;abadan ;terbiasa, pembawaan, kebiasaan : jangan bajajumput bat urang, jadi kena jangan mengambil kepunyaan org, jadi terbiasa nanti;
;abah;ayah, bapak.;
;abat ;"tahan, konci, piting; diabat ditahan, dikonci (dl permainan catur), sehingp lawan tdk dpt bergerak";
;abdol ;afdol, baik;
;abuh;abuh (peny bengkak, kembung dan spt berair).;
;abun;abun (tempat alat jahitan, perhiasan dsb terbuat dr kayu atau kuningan).;
;abut;"ribut, sibuk: jangan -- jangan ribut; hingga pina - selalu spt sibuk, abuya pak haji.";
;abuya;pak haji;
;acan;"1. terasi; 2. sambal (terasi). ";
;acar;acar ;
;aci ;"selalu, melulu: -- bat ikam aja nang dikajal selalu kepunyaanmu saja yang dipaksakan; baaci berhati-hati: lakasi pang tatak, jangan -- lekaslah potong, jangan berhati-hati benar; maaci menonjolkan: kahandaknya ja menonjolkan kehendaknya saja.";
;acung;"acung; baacungan dl keadaan teracung; mana wani, mun lading -- mana berani kalau belati dl keadaan teracung; maacungakan mengacungkan";
;ada;"ada; baada berada, kaya; maada-ada mengada-ada, memfitnah: jangan - - jangan mengda-ada; kadada 1. tdk ada; 2. tdk berada; miskin: duit tdk ada uang; aku ni urang -- saya ini org miskin";
;adab ;adab, sopan santun;
;adam;(nabi) Adam;
;adangan;kerbau;
;adap; İth. ADAB.;
;adas;adas manis (nm sej rempah-rempah);
;adat;adat;
;adha;(idul) adha;
;adi;(BK) maadi-adi malas, bertingkah: lakasi mandi, jangan -- cepat mandi, jangan bertingkah.;
;adil ;"I. adil; 2. pintar, tdk nakal: -- nya anak ikam ni, kada tadangar tangis pintar anakmu ini, tdk terdengar tangis. ";
;ading ;"adik, adinda; baading beradik (mempunyai adik) ; maadingakan menjadikan sbg adik (dl hal usia); tuhanya bini, kawa -- tua sekali isteri, dpt menjadikan (nya) sbg adik; sapaadingan sepersaudaraan; kalahai aku mun aku dikarubuti -- tentü saja saya kalah, kalau saya dikeroyoknya sepersaudaraan. ";
;adon ;"(BK) adon; adonan adonan (adukan tepung dg air gula dsb utk membuat kue); maadon membuat adonan.";
;adu;"adu; baadu bertanding; maadu mengadu domba; paraduan pertandingan; baadu-adu mengadu (sambil memburukkan org lain); adu asah penghasut, pengadu domba. ";
;aduh ;aduh. ;
;aduk ;tali ijuk. ;
;adungan (nm sej ikan). adupan (BK) anjing;"aga ypp agak I. gagh; 2. sombong: umai. lalı nya sidin tu aduh gghnya beliau itu, pina nyawahh som bong kau ya; &apk berhpk, menyombongkan diri; maapki (memperlihatkan sikap atau sesuatu utk memamskan hati org). paapkan (sifat) sombong, suka berla Bk. gama .aprna.";
;agr-.r ;;
;;"agas tikus kecn-kecn (hama padi); ma.s buas, ganas spt agas: inya kelaparan laluai makan karena terlalu lapar lalu makan buas 9t ";
;;agyngi gong. ah (kt seru). ahad ahad. ahas (sej rotan besar). aherat (BK) aklfrat. ahlak akhlak.;
;;"ahli 1. ahli, pandai; 2. keluarga. ahui baahui (bergotong ";
;;;
;;;
;;;
;;;
